ORIG_KEGG	ID_CODE	ORGANISM_NAME
pbrv	PB1	Petaurus breviceps papuanus
mlao	ML2	Macrotis lagotis
oaa	OAA	Ornithorhynchus anatinus
tacu	TA1	Tachyglossus aculeatus
gga	GGA	Gallus gallus
pcoc	PC4	Phasianus colchicus
mgp	MGP	Meleagris gallopavo
cjo	CJO	Coturnix japonica
tpai	TP1	Tympanuchus pallidicinctus
lmut	LM1	Lagopus muta
nmel	NM1	Numida meleagris
apla	AP1	Anas platyrhynchos
aacu	AA2	Anas acuta
oja	OJA	Oxyura jamaicensis
acyg	AC1	Anser cygnoides
cata	CA3	Cygnus atratus
aful	AF1	Aythya fuligula
tgu	TGU	Taeniopygia guttata
lsr	LSR	Lonchura striata
vmc	VMC	Vidua macroura
vcha	VC1	Vidua chalybeata
aib	AIB	Anomalospiza imberbis
scan	SC1	Serinus canaria
pmoa	PM2	Passer montanus
otc	OTC	Onychostruthus taczanowskii
pruf	PR2	Pyrgilauda ruficollis
atrc	AT1	Agelaius tricolor
mate	MA3	Molothrus ater
maen	MA4	Molothrus aeneus
gfr	GFR	Geospiza fortis
fab	FAB	Ficedula albicollis
oma	OMA	Oenanthe melanoleuca
phi	PHI	Pseudopodoces humilis
pmaj	PM3	Parus major
ccae	CC4	Cyanistes caeruleus
ccw	CCW	Corvus cornix
cbrc	CB2	Corvus brachyrhynchos
acoe	AC2	Aphelocoma coerulescens
etl	ETL	Empidonax traillii
zab	ZAB	Zonotrichia albicollis
zle	ZLE	Zonotrichia leucophrys gambelii
achl	AC3	Acanthisitta chloris
svg	SVG	Sturnus vulgaris
mmea	MM4	Malurus melanocephalus
hrt	HRT	Hirundo rustica
sati	SA2	Sylvia atricapilla
cfai	CF1	Chamaea fasciata
ccic	CC5	Cinclus cinclus
fpg	FPG	Falco peregrinus
fch	FCH	Falco cherrug
frs	FRS	Falco rusticolus
ccri	CC6	Cariama cristata
nnt	NNT	Nestor notabilis
shab	SH2	Strigops habroptila
acun	AC4	Athene cunicularia
anoc	AN2	Athene noctua
sura	SU1	Strix uralensis
tala	TA2	Tyto alba
achc	AC5	Aquila chrysaetos chrysaetos
hald	HA1	Haliaeetus albicilla
hle	HLE	Haliaeetus leucocephalus
agen	AG1	Astur gentilis
hhar	HH1	Harpia harpyja
bbut	BB3	Buteo buteo
gcl	GCL	Gymnogyps californianus
csti	CS4	Colius striatus
ldi	LDI	Leptosomus discolor
mnb	MNB	Merops nubicus
dpub	DP1	Dryobates pubescens
ppus	PP5	Pogoniulus pusillus
iin	IIN	Indicator indicator
avit	AV1	Apaloderma vittatum
brhi	BR1	Buceros rhinoceros silvestris
egz	EGZ	Egretta garzetta
nni	NNI	Nipponia nippon
pcri	PC5	Pelecanus crispus
pcao	PC6	Phalacrocorax carbo
parx	PA3	Phalacrocorax aristotelis
padl	PA4	Pygoscelis adeliae
afor	AF2	Aptenodytes forsteri
fga	FGA	Fulmarus glacialis
cbor	CB3	Calonectris borealis
gste	GS1	Gavia stellata
cboy	CB4	Ciconia boyciana
mame	MA5	Mycteria americana
clv	CLV	Columba livia
cnic	CN1	Caloenas nicobarica
mui	MUI	Mesitornis unicolor
pguu	PG2	Pterocles gutturalis
plet	PL4	Phaethon lepturus
ehs	EHS	Eurypyga helias
cmac	CM1	Chlamydotis macqueenii
cuca	CU1	Cuculus canorus
pcur	PC7	Phaenicophaeus curvirostris
teo	TEO	Tauraco erythrolophus
breg	BR2	Balearica regulorum gibbericeps
game	GA1	Grus americana
oha	OHA	Opisthocomus hoazin
acar	AC6	Antrostomus carolinensis
cpea	CP2	Chaetura pelagica
cvf	CVF	Charadrius vociferus
rtd	RTD	Rissa tridactyla
crid	CR1	Chroicocephalus ridibundus
lmic	LM2	Larus michahellis
narq	NA2	Numenius arquata
aam	AAM	Apteryx mantelli mantelli
arow	AR1	Apteryx rowi
npd	NPD	Nothoprocta perdicaria
tgt	TGT	Tinamus guttatus
dne	DNE	Dromaius novaehollandiae
scam	SC2	Struthio camelus australis
asn	ASN	Alligator sinensis
amj	AMJ	Alligator mississippiensis
cpoo	CP3	Crocodylus porosus
ggn	GGN	Gavialis gangeticus
pss	PSS	Pelodiscus sinensis
ciz	CIZ	Carettochelys insculpta
cmy	CMY	Chelonia mydas
ccay	CC7	Caretta caretta
lkp	LKP	Lepidochelys kempii
nds	NDS	Natator depressus
dcc	DCC	Dermochelys coriacea
cpic	CP4	Chrysemys picta
tst	TST	Trachemys scripta elegans
eob	EOB	Emys orbicularis
cabi	CA4	Chelonoidis abingdonii
mrv	MRV	Mauremys reevesii
acs	ACS	Anolis carolinensis
asao	AS2	Anolis sagrei ordinatus
pvt	PVT	Pogona vitticeps
sund	SU2	Sceloporus undulatus
pbi	PBI	Python bivittatus
pmur	PM4	Protobothrops mucrosquamatus
ctig	CT1	Crotalus tigris
tsr	TSR	Thamnophis sirtalis
pgut	PG3	Pantherophis guttatus
pcae	PC8	Pituophis catenifer annectens
apri	AP2	Ahaetulla prasina
ptex	PT2	Pseudonaja textilis
nss	NSS	Notechis scutatus
vko	VKO	Varanus komodoensis
pmua	PM5	Podarcis muralis
praf	PR3	Podarcis raffonei
zvi	ZVI	Zootoca vivipara
hcg	HCG	Hemicordylus capensis
gja	GJA	Gekko japonicus
stow	ST1	Sphaerodactylus townsendi
emc	EMC	Eublepharis macularius
