ORIG_KEGG	ID_CODE	ORGANISM_NAME
vsa	VSA	Aliivibrio salmonicida
awd	AWD	Aliivibrio wodanis
ppr	PPR	Photobacterium profundum
pgb	PGB	Photobacterium gaetbulicola
pds	PDS	Photobacterium damselae subsp. damselae
pgh	PGH	Photobacterium ganghwense
phot	PH9	Photobacterium sp. CCB-ST2H9
pate	PAW	Photobacterium atrarenae
ppil	PPU	Photobacterium piscicola
gho	GHO	Grimontia hollisae
gkd	GKD	Grimontia kaedaensis
pmai	PML	Paraphotobacterium marinum
saly	SAA	Salinivibrio sp. YCSC6
sks	SKS	Salinivibrio kushneri
scot	SC9	Salinivibrio costicola
spro	SPB	Salinivibrio proteolyticus
elux	EL1	Candidatus Enterovibrio altilux
elit	EL2	Enterovibrio litoreus
plas	PLC	Parasalinivibrio latis
pre	PRE	Metapseudomonas resinovorans
pfuw	PF6	Metapseudomonas furukawaii
poj	POJ	Metapseudomonas otitidis
plal	PLD	Metapseudomonas lalkuanensis
pae	PAE	Pseudomonas aeruginosa PAO1
paev	PAX	Pseudomonas aeruginosa PAO1-VE13
paei	PAY	Pseudomonas aeruginosa PAO1-VE2
pau	PAU	Pseudomonas aeruginosa UCBPP-PA14
pag	PAG	Pseudomonas aeruginosa LESB58
paf	PAF	Pseudomonas aeruginosa M18
pnc	PNC	Pseudomonas aeruginosa NCGM2.S1
paeb	PAZ	Pseudomonas aeruginosa NCGM 1900
pdk	PDK	Pseudomonas aeruginosa DK2
psg	PSG	Pseudomonas aeruginosa B136-33
prp	PRP	Pseudomonas aeruginosa RP73
paep	PA[	Pseudomonas aeruginosa PA1
paer	PA\	Pseudomonas aeruginosa PA1R
paem	PA]	Pseudomonas aeruginosa MTB-1
pael	PA^	Pseudomonas aeruginosa LES431
paes	PA_	Pseudomonas aeruginosa SCV20265
paeu	PA`	Pseudomonas aeruginosa PA38182
paeg	PAa	Pseudomonas aeruginosa YL84
paec	PAb	Pseudomonas aeruginosa c7447m
paeo	PAc	Pseudomonas aeruginosa PAO581
sech	SEb	Pseudomonas aeruginosa B18
pcq	PCQ	Pseudomonas citronellolis
pmui	PMM	Pseudomonas multiresinivorans
pnt	PNT	Pseudomonas nitroreducens
pap	PAP	Pseudomonas paraeruginosa PA7
ppaa	PPV	Pseudomonas paraeruginosa
ppu	PPU	Pseudomonas putida KT2440
ppf	PPF	Pseudomonas putida F1
ppg	PPG	Pseudomonas putida GB-1
ppw	PPW	Pseudomonas putida W619
ppt	PPT	Pseudomonas putida S16
ppb	PPB	Pseudomonas putida BIRD-1
ppi	PPI	Pseudomonas putida ND6
ppx	PPX	Pseudomonas putida DOT-T1E
ppuh	PPW	Pseudomonas putida HB3267
pput	PPX	Pseudomonas putida H8234
ppun	PPY	Pseudomonas putida NBRC 14164
ppud	PPZ	Pseudomonas putida DLL-E4
pfv	PFV	Pseudomonas fulva
pmon	PMN	Pseudomonas monteilii SB3078
pmot	PMO	Pseudomonas monteilii SB3101
ppj	PPJ	Pseudomonas plecoglossicida
por	POR	Pseudomonas oryzihabitans USDA-ARS-USMARC-56511
ppsl	PP[	Pseudomonas oryzihabitans PRS08-11306
pmol	PMP	Pseudomonas mosselii
pald	PAd	Pseudomonas alloputida
pix	PIX	Pseudomonas inefficax
pmos	PMQ	Pseudomonas soli
pst	PST	Pseudomonas syringae pv. tomato DC3000
psb	PSB	Pseudomonas syringae pv. syringae B728a
psyr	PSI	Pseudomonas syringae CC1557
psp	PSP	Pseudomonas savastanoi pv. phaseolicola 1448A
psav	PSJ	Pseudomonas savastanoi pv. savastanoi
pamg	PAe	Pseudomonas amygdali
pci	PCI	Pseudomonas cichorii
pavl	PAf	Pseudomonas avellanae
pvd	PVD	Pseudomonas viridiflava
pcab	PCN	Pseudomonas cannabina pv. alisalensis
pcof	PCO	Pseudomonas coronafaciens pv. oryzae
ptre	PTC	Pseudomonas tremae
psyi	PSK	Pseudomonas syringae pv. tagetis
past	PAg	Pseudomonas asturiensis
plij	PLE	Pseudomonas lijiangensis
pfuv	PF7	Pseudomonas fuscovaginae
pfl	PFL	Pseudomonas protegens Pf-5
pprc	PP\	Pseudomonas protegens CHA0
ppro	PP]	Pseudomonas protegens Cab57
pfe	PFE	Pseudomonas ogarae F113
pza	PZA	Pseudomonas ogarae SWRI108
pfn	PFN	Pseudomonas fluorescens UK4
pfo	PFO	Pseudomonas fluorescens Pf0-1
pfs	PFS	Pseudomonas fluorescens SBW25
pfc	PFC	Pseudomonas fluorescens A506
ppz	PPZ	Pseudomonas poae
pfb	PFB	Pseudomonas synxantha LBUM223
pman	PMR	Pseudomonas mandelii
ptv	PTV	Pseudomonas trivialis
pcg	PCG	Pseudomonas corrugata
pvr	PVR	Pseudomonas veronii
pazo	PAh	Pseudomonas azotoformans
poi	POI	Pseudomonas orientalis
prx	PRX	Pseudomonas rhodesiae
pmed	PMS	Pseudomonas mediterranea
pkr	PKR	Pseudomonas koreensis
pmud	PMT	Pseudomonas mucidolens
ptol	PTD	Pseudomonas tolaasii
pmab	PMU	Pseudomonas marginalis
pbre	PB7	Pseudomonas brenneri
pfw	PFW	Pseudomonas simiae PCL1751
pff	PFF	Pseudomonas simiae PICF7
pfx	PFX	Pseudomonas lurida
pen	PEN	Pseudomonas entomophila
plul	PLF	Pseudomonas luteola
pba	PBA	Pseudomonas brassicacearum subsp. brassicacearum NFM421
pbc	PBC	Pseudomonas brassicacearum DF41
ppuu	PP^	Pseudomonas sp. UW4
pdr	PDR	Pseudomonas sp. ATCC 13867
psv	PSV	Pseudomonas sp. VLB120
psk	PSK	Pseudomonas gorinensis
pkc	PKC	Pseudomonas knackmussii
pch	PCH	Pseudomonas chlororaphis PA23
pcz	PCZ	Pseudomonas chlororaphis PCL1606
pcp	PCP	Pseudomonas chlororaphis subsp. aurantiaca
pchp	PCP	Pseudomonas chlororaphis subsp. piscium
pfz	PFZ	Pseudomonas fragi
plq	PLQ	Pseudomonas lundensis
palk	PAi	Pseudomonas alkylphenolica
prh	PRH	Pseudomonas rhizosphaerae
psw	PSW	Pseudomonas cremoricolorata
ppv	PPV	Pseudomonas parafulva
pses	PSL	Pseudomonas sp. StFLB209
psem	PSM	Pseudomonas sp. MRSN12121
psec	PSN	Pseudomonas sp. CCOS 191
ppsy	PP_	Pseudomonas versuta
psos	PSO	Pseudomonas sp. Os17
pfk	PFK	Pseudomonas frederiksbergensis
panr	PAj	Pseudomonas antarctica
pset	PSP	Pseudomonas sp. TCU-HL1
psil	PSQ	Pseudomonas silesiensis
pym	PYM	Pseudomonas yamanorum
pade	PAk	Candidatus Pseudomonas adelgestsugas
pke	PKE	Pseudomonas kribbensis
pum	PUM	Pseudomonas umsongensis
pgg	PGG	Pseudomonas graminis
ppsh	PP`	Pseudomonas psychrophila
pgy	PGY	Pseudomonas glycinae
psej	PSR	Pseudomonas sediminis
pvk	PVK	Pseudomonas viciae
pez	PEZ	Pseudomonas eucalypticola
pbz	PBZ	Pseudomonas bijieensis
pmao	PMV	Pseudomonas marincola
pata	PAl	Pseudomonas atacamensis
pdw	PDW	Pseudomonas donghuensis
pze	PZE	Pseudomonas zeae
pmoe	PMW	Pseudomonas monsensis
psep	PSS	Pseudomonas sessilinigenes
ppii	PPa	Pseudomonas piscis
pvw	PVW	Pseudomonas vanderleydeniana
ptrt	PTE	Pseudomonas tritici
pxa	PXA	Pseudomonas xanthosomatis
psam	PST	Pseudomonas salmasensis
ptz	PTZ	Pseudomonas tensinigenes
pqi	PQI	Pseudomonas qingdaonensis
pshh	PSU	Pseudomonas shahriarae
pxn	PXN	Pseudomonas xantholysinigenes
phv	PHV	Pseudomonas hamedanensis
pprg	PPb	Pseudomonas promysalinigenes
panh	PAm	Pseudomonas anuradhapurensis
pasg	PAn	Pseudomonas asgharzadehiana
pfak	PF8	Pseudomonas fakonensis
pmuy	PMX	Pseudomonas muyukensis
pmam	PMY	Pseudomonas maumuensis
paze	PAo	Pseudomonas azerbaijanorientalis
palv	PAp	Pseudomonas alvandae SWRI17
pcas	PCQ	Pseudomonas alvandae B21-020
pory	PO2	Pseudomonas oryziphila
pwz	PWZ	Pseudomonas wenzhouensis
ptk	PTK	Pseudomonas tructae
ptw	PTW	Pseudomonas tohonis
pie	PIE	Pseudomonas iranensis
pwy	PWY	Pseudomonas wayambapalatensis
ptae	PTF	Pseudomonas taetrolens
pgf	PGF	Pseudomonas germanica
pcav	PCR	Pseudomonas cavernae
pju	PJU	Pseudomonas juntendi
pphn	PPc	Pseudomonas phenolilytica
piz	PIZ	Pseudomonas izuensis
ppeg	PPd	Pseudomonas pergaminensis
psii	PSV	Pseudomonas siliginis
psih	PSW	Pseudomonas sichuanensis
pfit	PF9	Pseudomonas fitomaticsae
pasi	PAq	Pseudomonas asiatica
pkm	PKM	Pseudomonas kermanshahensis
pnb	PNB	Pseudomonas nunensis
psoa	PSX	Pseudomonas solani
ptai	PTG	Pseudomonas taiwanensis
pkk	PKK	Pseudomonas kurunegalensis
pkj	PKJ	Pseudomonas kielensis
phyg	PHA	Pseudomonas hygromyciniae
phom	PHB	Pseudomonas hormoni
pcuc	PCS	Pseudomonas cucumis
ptrl	PTH	Pseudomonas triclosanedens
ppae	PPe	Pseudomonas palleroniana
ppao	PPf	Pseudomonas phytophila
prhz	PRD	Pseudomonas rhizophila
psjy	PSY	Pseudomonas sp. JY-Q
psku	PSZ	Pseudomonas sp. KUIN-1
pshs	PS[	Pseudomonas sp. HS6
phef	PHC	Pseudomonas hefeiensis
pslp	PS\	Pseudomonas sp. LPH1
plis	PLG	Pseudomonas serboccidentalis
plau	PLH	Pseudomonas lalucatii
psnc	PS]	Pseudomonas sp. NC02
pfou	PFA	Pseudomonas fortuita
pbej	PB8	Pseudomonas beijingensis
pkv	PKV	Pseudomonas khavaziana
psmt	PS^	Pseudomonas sp. MT-1
pskp	PS_	Pseudomonas sp. KU43P
pbam	PB9	Pseudomonas batumici
pdeu	PD8	Pseudomonas defluvii
pqe	PQE	Pseudomonas quebecensis
pben	PBA	Pseudomonas benzopyrenica
psdt	PS`	Pseudomonas sp. Stari2
pbez	PBB	Pseudomonas benzenivorans
pcaa	PCT	Pseudomonas canadensis
pbub	PBC	Pseudomonas bubulae
psml	PSa	Pseudomonas sp. ML2-2023-3
psmz	PSb	Pseudomonas sp. ML2-2023-6
psiv	PSc	Pseudomonas silvicola
pswo	PSd	Pseudomonas sp. W03
pmor	PMZ	Pseudomonas moorei
pthv	PTI	Pseudomonas thivervalensis
pssx	PSe	Pseudomonas sp. SXM-1
pagb	PAr	Pseudomonas agarici
psns	PSf	Pseudomonas sp. NS1(2017)
psru	PSg	Pseudomonas sp. RU47
psny	PSh	Pseudomonas sp. NyZ201
psmd	PSi	Pseudomonas sp. MM213
pim	PIM	Pseudomonas imrae
pbab	PBD	Pseudomonas bambusae
psyq	PSj	Pseudomonas sp. Y39-6
psao	PSk	Pseudomonas sp. AN-1
ptus	PTJ	Pseudomonas tussilaginis
pslz	PSl	Pseudomonas sp. Lz4W
pssz	PSm	Pseudomonas sp. 31-12
psdy	PSn	Pseudomonas sp. DY-1
psdu	PSo	Pseudomonas sp. DTU12.3
pmy	PMY	Ectopseudomonas mendocina ymp
pmk	PMK	Ectopseudomonas mendocina NK-01
ppse	PPg	Ectopseudomonas oleovorans
pall	PAs	Ectopseudomonas alcaliphila
pkh	PKH	Ectopseudomonas khazarica
pty	PTY	Ectopseudomonas toyotomiensis
phf	PHF	Ectopseudomonas hydrolytica
pche	PCU	Ectopseudomonas chengduensis
psa	PSA	Stutzerimonas stutzeri A1501
psz	PSZ	Stutzerimonas stutzeri ATCC 17588 = LMG 11199
psr	PSR	Stutzerimonas stutzeri DSM 4166
psc	PSC	Stutzerimonas stutzeri CCUG 29243
psj	PSJ	Stutzerimonas stutzeri DSM 10701
psh	PSH	Stutzerimonas stutzeri RCH2
pstt	PSp	Stutzerimonas stutzeri 28a24
pstu	PSq	Stutzerimonas decontaminans
psed	PSr	Stutzerimonas frequens
pchl	PCV	Stutzerimonas chloritidismutans
pbm	PBM	Stutzerimonas balearica
pkg	PKG	Stutzerimonas kunmingensis
sdeg	SD2	Stutzerimonas degradans
pzd	PZD	Stutzerimonas zhaodongensis
avn	AVN	Azotobacter vinelandii DJ
avl	AVL	Azotobacter vinelandii CA
avd	AVD	Azotobacter vinelandii CA6
acx	ACX	Azotobacter chroococcum
pbb	PBB	Thiopseudomonas alkaliphila
pagr	PAt	Permianibacter aggregans
emo	EMO	Entomomonas moraniae
eaz	EAZ	Entomomonas asaccharolytica
ento	EN8	Entomomonas sp. E2T0
hpeg	HP8	Halopseudomonas pelagia
haes	HA9	Halopseudomonas aestusnigri
pden	PD9	Pseudomonas denitrificans
harr	HAA	Halopseudomonas maritima
pnn	PNN	Halopseudomonas nanhaiensis
ppha	PPh	Halopseudomonas phragmitis
hasm	HAB	Halopseudomonas sp. SMJS2
dce	DCE	Denitrificimonas caeni
palc	PAu	Aquipseudomonas alcaligenes
pcam	PCW	Aquipseudomonas campi
pbau	PBE	Pseudomonadaceae bacterium T75
maq	MAQ	Marinobacter nauticus VT8
mhc	MHC	Marinobacter nauticus ATCC 49840
mad	MAD	Marinobacter adhaerens
mbs	MBS	Marinobacter sp. BSs20148
msr	MSR	Marinobacter salarius
msx	MSX	Marinobacter similis
mpq	MPQ	Marinobacter psychrophilus
mari	MAC	Marinobacter sp. CP1
mlq	MLQ	Marinobacter sp. LQ44
msq	MSQ	Marinobacter salinus
mara	MAD	Marinobacter sp. Arc7-DN-1
marj	MAE	Marinobacter sp. JH2
mall	MAF	Marinobacter alkaliphilus
mshe	MS7	Marinobacter shengliensis
manp	MAG	Marinobacter sp. NP-4(2019)
msan	MS8	Marinobacter salinisoli
mnk	MNK	Marinobacter nanhaiticus
mmee	MM6	Marinobacter metalliresistant
mamm	MAH	Marinobacter sp. MMG032
mrx	MRX	Marinobacter sp. RI1
maca	MAI	Marinobacter sp. CA1
mfli	MF4	Marinobacter flavimaris
kak	KAK	Ketobacter alkanivorans
pspi	PSs	Pseudohongiella spirulinae
njo	NJO	Candidatus Njordibacter sp. Uisw_002
par	PAR	Psychrobacter arcticus
pcr	PCR	Psychrobacter cryohalolentis
prw	PRW	Psychrobacter sp. PRwf-1
pso	PSO	Psychrobacter sp. G
pur	PUR	Psychrobacter urativorans
pali	PAv	Psychrobacter alimentarius
pspg	PSt	Psychrobacter sp. P2G3
psyg	PSu	Psychrobacter sp. P11G5
psyc	PSv	Psychrobacter sp. DAB_AL43B
psya	PSw	Psychrobacter sp. AntiMn-1
psyy	PSx	Psychrobacter sp. YP14
psyp	PSy	Psychrobacter sp. PAMC27889
pky	PKY	Psychrobacter sp. KH172YL61
pcia	PCX	Psychrobacter cibarius
prae	PRE	Psychrobacter raelei
psyk	PSz	Psychrobacter sp. KFRI-CH2-11
acb	ACB	Acinetobacter baumannii ATCC 17978
abm	ABM	Acinetobacter baumannii SDF
aby	ABY	Acinetobacter baumannii AYE
abc	ABC	Acinetobacter baumannii ACICU
abn	ABN	Acinetobacter baumannii AB0057
abb	ABB	Acinetobacter baumannii AB307-0294
abx	ABX	Acinetobacter baumannii 1656-2
abz	ABZ	Acinetobacter baumannii MDR-ZJ06
abr	ABR	Acinetobacter baumannii MDR-TJ
abd	ABD	Acinetobacter baumannii TCDC-AB0715
abh	ABH	Acinetobacter baumannii TYTH-1
abad	AB2	Acinetobacter baumannii D1279779
abj	ABJ	Acinetobacter baumannii BJAB07104
abab	AB3	Acinetobacter baumannii BJAB0715
abaj	AB4	Acinetobacter baumannii BJAB0868
abaz	AB5	Acinetobacter baumannii ZW85-1
abk	ABK	Acinetobacter baumannii AbH12O-A2
abau	AB6	Acinetobacter baumannii AB030
abaa	AB7	Acinetobacter baumannii AB031
abw	ABW	Acinetobacter baumannii AC29
abal	AB8	Acinetobacter baumannii LAC-4
aban	AB9	Acinetobacter baumannii AB5075-UW
acc	ACC	Acinetobacter pittii
ano	ANO	Acinetobacter nosocomialis
alc	ALC	Acinetobacter lactucae
acal	ACH	Acinetobacter calcoaceticus
asei	ASA	Acinetobacter seifertii
acd	ACD	Acinetobacter oleivorans
aci	ACI	Acinetobacter baylyi
att	ATT	Acinetobacter sp. TTH0-4
aei	AEI	Acinetobacter equi
ajo	AJO	Acinetobacter johnsonii
acw	ACW	Acinetobacter sp. DUT-2
acv	ACV	Acinetobacter sp. TGL-Y2
ahl	AHL	Acinetobacter haemolyticus
ajn	AJN	Acinetobacter junii
asol	ASB	Acinetobacter soli
ala	ALA	Acinetobacter larvae
asj	ASJ	Acinetobacter schindleri
aid	AID	Acinetobacter indicus
adv	ADV	Acinetobacter defluvii
arj	ARJ	Acinetobacter radioresistens
awu	AWU	Acinetobacter wuhouensis
acum	ACI	Acinetobacter cumulans
agu	AGU	Acinetobacter guillouiae
aug	AUG	Acinetobacter ursingii
alw	ALW	Acinetobacter lwoffii
ads	ADS	Acinetobacter dispersus
aber	ABA	Acinetobacter bereziniae
atn	ATN	Acinetobacter tandoii
achi	ACJ	Acinetobacter chinensis
alj	ALJ	Acinetobacter lanii
awg	AWG	Acinetobacter wanghuae
asha	ASC	Acinetobacter shaoyimingii
atg	ATG	Acinetobacter towneri
avb	AVB	Acinetobacter variabilis
abou	ABB	Acinetobacter bouvetii
agyl	AG6	Acinetobacter gyllenbergii
aciu	ACK	Acinetobacter sp. NCu2D-2
avz	AVZ	Acinetobacter venetianus
apot	APD	Acinetobacter portensis
atz	ATZ	Acinetobacter tibetensis
aprl	APE	Acinetobacter proteolyticus
acoi	ACL	Acinetobacter colistiniresistens
aviv	AV2	Acinetobacter vivianii
acie	ACM	Acinetobacter sp. BHS4
asue	ASD	Acinetobacter suaedae
acig	ACN	Acinetobacter sp. LoGeW2-3
acot	ACO	Acinetobacter corruptisaponis
atv	ATV	Acinetobacter thermotolerans
acic	ACP	Acinetobacter sp. Ac-14
aciz	ACQ	Acinetobacter sp. Tol 5
acif	ACR	Acinetobacter sp. LUNF3
acwc	ACS	Acinetobacter sp. WCHAc010052
acpz	ACT	Acinetobacter sp. P1332
acik	ACU	Acinetobacter sp. Z1
aczq	ACV	Acinetobacter sp. 2019-01-05
apis	APF	Acinetobacter piscicola
acaz	ACW	Acinetobacter sp. A1-4-2
acaq	ACX	Acinetobacter sp. ASP199
acny	ACY	Acinetobacter sp. NyZ410
achu	ACZ	Acinetobacter chenhuanii
aasz	AAH	Acinetobacter sp. AS23
azu	AZU	Acinetobacter zhairuonensis
aclf	AC[	Acinetobacter sp. LF10
ayu	AYU	Acinetobacter yuyunsongii
mct	MCT	Moraxella catarrhalis BBH18
mcs	MCS	Moraxella catarrhalis 25240
mcat	MC8	Moraxella catarrhalis 25239
moi	MOI	Moraxella ovis
mbl	MBL	Moraxella bovoculi
mboi	MB4	Moraxella bovis
mcun	MC9	Moraxella cuniculi
mnn	MNN	Moraxella nonliquefaciens
mns	MNS	Moraxella nasovis
mnc	MNC	Moraxella nasicaprae
mnj	MNJ	Moraxella nasibovis
mhac	MH9	Moraxella haemolytica
mcah	MCA	Moraxella canis
mow	MOW	Moraxella sp. DOX410
mora	MO3	Moraxella sp. FZFQ2102
mork	MO4	Moraxella sp. K02
morx	MO5	Moraxella sp. K23
mvf	MVF	Moraxella veridica
mbah	MB5	Aquirhabdus parva
mos	MOS	Faucicola osloensis
son	SON	Shewanella oneidensis
sdn	SDN	Shewanella denitrificans
sfr	SFR	Shewanella frigidimarina
saz	SAZ	Shewanella amazonensis
sbl	SBL	Shewanella baltica OS155
sbm	SBM	Shewanella baltica OS185
sbn	SBN	Shewanella baltica OS195
sbp	SBP	Shewanella baltica OS223
sbt	SBT	Shewanella baltica OS678
sbs	SBS	Shewanella baltica OS117
sbb	SBB	Shewanella baltica BA175
slo	SLO	Shewanella loihica
spc	SPC	Shewanella putrefaciens CN-32
shp	SHP	Shewanella putrefaciens 200
sse	SSE	Shewanella sediminis
spl	SPL	Shewanella pealeana
she	SHE	Shewanella sp. MR-4
shm	SHM	Shewanella sp. MR-7
shn	SHN	Shewanella sp. ANA-3
shw	SHW	Shewanella sp. W3-18-1
shl	SHL	Shewanella halifaxensis
swd	SWD	Shewanella woodyi
swp	SWP	Shewanella piezotolerans
svo	SVO	Shewanella violacea
shf	SHF	Shewanella sp. FDAARGOS_354
sja	SJA	Shewanella japonica
spsw	SPC	Shewanella psychrophila
sbj	SBJ	Shewanella bicestrii
smav	SM8	Shewanella marisflavi
shew	SH5	Shewanella sp. WE21
salg	SAB	Shewanella algae
slj	SLJ	Shewanella livingstonensis
smai	SM9	Shewanella maritima
spol	SPD	Shewanella polaris
sbk	SBK	Shewanella benthica
skh	SKH	Shewanella khirikhana
saes	SAC	Shewanella aestuarii
slit	SL8	Shewanella litorisediminis
sdk	SDK	Shewanella dokdonensis
scaa	SCA	Shewanella carassii
spsh	SPE	Shewanella psychropiezotolerans
seur	SEc	Shewanella eurypsychrophilus
syk	SYK	Shewanella yunxiaonensis
scyp	SCB	Shewanella cyperi
savi	SAD	Shewanella avicenniae
ssem	SSC	Shewanella sedimentimangrovi
sgla	SG6	Shewanella glacialimarina
sinv	SI4	Shewanella inventionis
sxm	SXM	Shewanella xiamenensis
svm	SVM	Shewanella vesiculosa
shej	SH6	Shewanella sp. JNE2
sseh	SSD	Shewanella seohaensis
schk	SCC	Shewanella chilikensis
sach	SAE	Shewanella acanthi
saeg	SAF	Shewanella aegiceratis
sdeo	SD3	Shewanella decolorationis
smes	SMA	Shewanella mesophila
shao	SH7	Shewanella halotolerans
szh	SZH	Shewanella zhangzhouensis
sspa	SSE	Shewanella spartinae
shns	SH8	Shewanella alkalitolerans
srhs	SR2	Shewanella rhizosphaerae
spsj	SPF	Shewanella psychrotolerans
smay	SMB	Shewanella mangrovisoli
sog	SOG	Shewanella oncorhynchi
spsr	SPG	Shewanella psychromarinicola
shea	SH9	Shewanella sp. Arc9-LZ
shel	SHA	Shewanella sp. LZH-2
sheh	SHB	Shewanella sp. H8
syou	SY1	Shewanella youngdeokensis
shem	SHC	Shewanella sp. MTB7
shep	SHD	Shewanella sp. Pdp11
shey	SHE	Shewanella sp. YLB-09
ilo	ILO	Idiomarina loihiensis L2TR
ili	ILI	Idiomarina loihiensis GSL 199
ipi	IPI	Idiomarina piscisalsi
idi	IDI	Idiomarina sp. X4
idt	IDT	Idiomarina sp. OT37-5b
iab	IAB	Idiomarina abyssalis
idp	IDP	Idiomarina sp. PL1-037
idx	IDX	Idiomarina sp. OXR-189
panm	PAw	Pseudidiomarina andamanensis
cps	CPS	Colwellia psychrerythraea
com	COM	Colwellia sp. MT41
coz	COZ	Colwellia sp. PAMC 20917
colw	CO2	Colwellia sp. PAMC 21821
cola	CO3	Colwellia sp. Arc7-D
cov	COV	Colwellia sp. Arc7-635
cber	CB9	Cognaticolwellia beringensis
lsd	LSD	Litorilituus sediminis
tht	THT	Thalassotalea sp. HSM 43
thap	TH4	Thalassotalea sp. PS06
thab	TH5	Thalassotalea sp. LPB0316
tpsy	TP6	Thalassotalea psychrophila
tnn	TNN	Thalassotalea nanhaiensis
tft	TFT	Thalassotalea fonticola
that	TH6	Thalassomonas haliotis
tact	TAB	Thalassomonas actiniarum
tvd	TVD	Thalassomonas viridans
pha	PHA	Pseudoalteromonas translucida TAC125
ptn	PTN	Pseudoalteromonas translucida KMM 520
psm	PSM	Pseudoalteromonas sp. SM9913
pseo	PS{	Pseudoalteromonas piratica
pia	PIA	Pseudoalteromonas issachenkonii
pphe	PPi	Pseudoalteromonas phenolica
pbw	PBW	Pseudoalteromonas sp. Bsw20308
prr	PRR	Pseudoalteromonas rubra
plz	PLZ	Pseudoalteromonas luteoviolacea
paln	PAx	Pseudoalteromonas aliena
ppis	PPj	Pseudoalteromonas piscicida
pea	PEA	Pseudoalteromonas espejiana
pspo	PS|	Pseudoalteromonas spongiae
part	PAy	Pseudoalteromonas arctica
ptu	PTU	Pseudoalteromonas tunicata
png	PNG	Pseudoalteromonas nigrifaciens
ptd	PTD	Pseudoalteromonas tetraodonis
psen	PS}	Pseudoalteromonas sp. NC201
pdj	PDJ	Pseudoalteromonas lipolytica
paga	PAz	Pseudoalteromonas agarivorans
pcar	PCY	Pseudoalteromonas carrageenovora
pmaa	PM[	Pseudoalteromonas marina
pxi	PXI	Pseudoalteromonas xiamenensis
pvb	PVB	Pseudoalteromonas viridis
psaz	PS~	Pseudoalteromonas sp. A25
pdv	PDV	Pseudoalteromonas distincta
pfli	PFB	Pseudoalteromonas maricaloris SCSIO 43202
pmaz	PM\	Pseudoalteromonas maricaloris DSM 15914
psho	PS	Pseudoalteromonas shioyasakiensis
psmm	PS	Pseudoalteromonas sp. MM1
pxsi	PX1	Pseudoalteromonas sp. Xi13
psjs	PS	Pseudoalteromonas sp. JSTW
pska	PS	Pseudoalteromonas sp. KAN5
psrr	PS	Pseudoalteromonas sp. R3
psmb	PS	Pseudoalteromonas sp. MT33b
pslc	PS	Pseudoalteromonas sp. LC2018020214
psps	PS	Pseudoalteromonas sp. PS1M3
pscf	PS	Pseudoalteromonas sp. CF6-2
psad	PS	Pseudoalteromonas sp. APM04
pscu	PS	Pseudoalteromonas sp. CuT4-3
pssd	PS	Pseudoalteromonas sp. SD03
psym	PS	Psychrosphaera ytuae
amc	AMC	Alteromonas mediterranea DE
amh	AMH	Alteromonas mediterranea 615
amaa	AMA	Alteromonas mediterranea DE1
amal	AMB	Alteromonas mediterranea U4
amae	AMC	Alteromonas mediterranea U7
amao	AMD	Alteromonas mediterranea U8
amad	AME	Alteromonas mediterranea UM4b
amai	AMF	Alteromonas mediterranea UM7
amag	AMG	Alteromonas mediterranea MED64
amac	AMH	Alteromonas macleodii ATCC 27126
amb	AMB	Alteromonas macleodii Balearic Sea AD45
amg	AMG	Alteromonas macleodii English Channel 673
amk	AMK	Alteromonas macleodii Black Sea 11
alt	ALT	Alteromonas naphthalenivorans
aal	AAL	Alteromonas australica H 17
aaus	AAI	Alteromonas australica DE170
asp	ASP	Alteromonas stellipolaris LMG 21856
asq	ASQ	Alteromonas stellipolaris LMG 21861
aaw	AAW	Alteromonas stellipolaris R10SW13
alr	ALR	Alteromonas sp. RKMC-009
ale	ALE	Alteromonas sp. Mac1
alz	ALZ	Alteromonas sp. Mac2
apel	APG	Alteromonas pelagimontana
alte	AL7	Alteromonas sp. 76-1
altm	AL8	Alteromonas sp. Mex14
altr	AL9	Alteromonas sp. RW2A1
alto	ALA	Alteromonas sp. I4
amab	AMI	Alteromonas marina
altb	ALB	Alteromonas sp. B31-7
alta	ALC	Alteromonas sp. BL110
altd	ALD	Alteromonas sp. D210916BOD_24
altz	ALE	Alteromonas sp. OM2203
aale	AAJ	Alteromonas algae
auv	AUV	Alteromonas ulvae
altf	ALF	Alteromonas sp. CI.11.F.A3
alts	ALG	Alteromonas sp. 4B03
salm	SAG	Salinimonas sediminis
salk	SAH	Salinimonas iocasae
smaa	SMC	Salinimonas marina
gag	GAG	Glaciecola sp. 4H-3-7+YE-5
gni	GNI	Brumicola nitratireducens
gps	GPS	Paraglaciecola psychrophila
pmes	PM]	Paraglaciecola mesophila
pat	PAT	Paraglaciecola sp. T6c
lal	LAL	Lacimicrobium alkaliphilum
cate	CAF	Saccharobesus litoralis
salh	SAI	Saliniradius amylolyticus
hmi	HMI	Hydrocarboniclastica marina
paew	PA{	Paraneptunicella aestuarii
agz	AGZ	Agarivorans sediminis
agq	AGQ	Agarivorans sp. B2Z047
agar	AG7	Agarivorans sp. OAG1
agaz	AG8	Agarivorans sp. Z349TD_7
agaq	AG9	Agarivorans sp. QJM3NY_29
alkm	ALH	Alkalimarinus alittae
asem	ASE	Alkalimarinus sediminis
catt	CAG	Catenovulum adriaticum
alii	ALI	Aliiglaciecola sp. LCG003
